name,addr_pin,addr_longi,addr_lati
735 S Mattis Ave_3b1.5b,"735 S Mattis Ave, Champaign, IL 61821",40.10865,-88.27672
622 W Clark St_2b1b,"622 W Clark St, Champaign, IL 61820",40.11557,-88.25404
1801 W John St_3b1.5b,"1801 W John St, Champaign, IL 61821",40.10897,-88.27685
116 N Walnut St_2b1b,"116 N Walnut St, Champaign, IL 61820",40.1167,-88.24244
2006 Parkdale Dr_3b1b,"2006 Parkdale Dr, Champaign, IL 61821",40.09774,-88.28062
1831 Parkdale Dr_3b1.5b,"1831 Parkdale Dr, Champaign, IL 61821",40.09725,-88.2797
1402 Myrtle Beach Ave_3b2.5b,"1402 Myrtle Beach Ave, Champaign, IL 61822",40.09032,-88.32143
1106 Hickory St_4b2.5b,"1106 Hickory St, Champaign, IL 61820",40.12645,-88.24197
2405 Lawndale Dr_3b1b,"2405 Lawndale Dr, Champaign, IL 61821",40.09892,-88.28651
1513 W Kirby Ave_3b1.5b,"1513 W Kirby Ave, Champaign, IL 61821",40.09757,-88.27126
1406 Bluegrass Ln_4b2.5b,"1406 Bluegrass Ln, Champaign, IL 61822",40.13019,-88.30853
503 E Springfield Ave_1b1b,"503 E Springfield Ave, Champaign, IL 61820",40.11238,-88.23161
507 W Kirby Ave_5b1.5b,"507 W Kirby Ave, Champaign, IL 61820",40.09785,-88.25059
503 E Springfield Ave_2b2b,"503 E Springfield Ave, Champaign, IL 61820",40.11238,-88.23161
1615 Bassett Ln_4b3.5b,"1615 Bassett Ln, Champaign, IL 61821",40.08397,-88.27294
1308 Grandview Dr_1b1b,"1308 Grandview Dr, Champaign, IL 61820",40.10154,-88.25011
207 E Healey St_1b1b,"207 E Healey St, Champaign, IL 61820",40.11119,-88.23595
107 E John St_1b1b,"107 E John St, Champaign, IL 61820",40.10875,-88.23774
105 E John St_1b1b,"105 E John St, Champaign, IL 61820",40.10875,-88.23798
110 E John St_1b1b,"110 E John St, Champaign, IL 61820",40.10934,-88.23752
57 E Healey St_0b1b,"57 E Healey St, Champaign, IL 61820",40.11113,-88.23935
1308 Grandview Dr_1b1b,"1308 Grandview Dr, Champaign, IL 61820",40.10154,-88.25011
1407 Rosewood Dr_3b1b,"1407 Rosewood Dr, Champaign, IL 61821",40.10024,-88.27891
502 E Springfield Ave_3b2.5b,"502 E Springfield Ave, Champaign, IL 61820",40.11287,-88.23186
305 Birch St_1b1b,"305 Birch St, Champaign, IL 61820",40.09964,-88.24725
301 S 4th St_2b2b,"301 S 4th St, Champaign, IL 61820",40.11415,-88.23375
307 Birch St_1b1b,"307 Birch St, Champaign, IL 61820",40.09964,-88.24772
1208 S Elm Blvd_2b1b,"1208 S Elm Blvd, Champaign, IL 61820",40.10251,-88.25011
310 Avondale Ave_2b1b,"310 Avondale Ave, Champaign, IL 61820",40.1035,-88.24774
502 E Springfield Ave_3b2.5b,"502 E Springfield Ave, Champaign, IL 61820",40.11287,-88.23186
502 E Springfield Ave_3b2b,"502 E Springfield Ave, Champaign, IL 61820",40.11287,-88.23186
2606 Sheridan Dr_3b2b,"2606 Sheridan Dr, Champaign, IL 61821",40.10552,-88.28954
501 Mitchell Ct_1b1b,"501 Mitchell Ct, Champaign, IL 61821",40.11096,-88.29152
502 E Springfield Ave_3b2.5b,"502 E Springfield Ave, Champaign, IL 61820",40.11287,-88.23186
305 Birch St_1b1b,"305 Birch St, Champaign, IL 61820",40.09964,-88.24725
311 Birch St_1b1b,"311 Birch St, Champaign, IL 61820",40.09989,-88.2469
709 W Green St_4b2b,"709 W Green St, Champaign, IL 61820",40.1098,-88.25515
901 S 2nd St_4b2b,"901 S 2nd St, Champaign, IL 61820",40.10763,-88.23737
2002 Blackthorn Dr_2b1.5b,"2002 Blackthorn Dr, Champaign, IL 61821",40.08798,-88.27842
610 S Mattis Ave_2b1b,"610 S Mattis Ave, Champaign, IL 61821",40.10937,-88.27631
606 S Mattis Ave_1b1b,"606 S Mattis Ave, Champaign, IL 61821",40.10975,-88.27632
606 S Mattis Ave_2b1b,"606 S Mattis Ave, Champaign, IL 61821",40.10975,-88.27632
1106 Maplepark Dr_3b2b,"1106 Maplepark Dr, Champaign, IL 61821",40.10421,-88.29407
603 E Clark St_1b1b,"603 E Clark St, Champaign, IL 61820",40.11512,-88.22995
612 Ventura Rd_3b1b,"612 Ventura Rd, Champaign, IL 61820",40.09706,-88.25311
906 S Locust St_2b1b,"906 S Locust St, Champaign, IL 61820",40.10738,-88.23991
705 S 1st St_3b1b,"705 S 1st St, Champaign, IL 61820",40.10961,-88.23913
705 S 1st St_3b1.5b,"705 S 1st St, Champaign, IL 61820",40.10961,-88.23913
705 S 1st St_4b2b,"705 S 1st St, Champaign, IL 61820",40.10961,-88.23913
908 S Locust St_1b1b,"908 S Locust St, Champaign, IL 61820",40.10721,-88.23991
101 E Daniel St_4b2b,"101 E Daniel St, Champaign, IL 61820",40.10763,-88.23843
1616A Maynard Dr_3b1.5b,"1616A Maynard Dr, Champaign, IL 61822",40.09722,-88.2978
211 W Columbia Ave_3b1b,"211 W Columbia Ave, Champaign, IL 61820",40.12087,-88.2466
1603 W John St_3b2.5b,"1603 W John St, Champaign, IL 61821",40.10869,-88.27321
708 W Springfield Ave_2b1b,"708 W Springfield Ave, Champaign, IL 61820",40.1129,-88.25525
108 W Charles St_1b1b,"108 W Charles St, Champaign, IL 61820",40.10612,-88.24435
803 W Springfield Ave_1b1b,"803 W Springfield Ave, Champaign, IL 61820",40.11237,-88.25638
311 S Prairie St_2b2b,"311 S Prairie St, Champaign, IL 61820",40.11328,-88.24891
Healey Street_2b1b,"607-611 W Healey St, Champaign, IL 61820",40.11126,-88.25266
Anthony Drive_1b1b,"1500 W Anthony Dr, Champaign, IL 61821",40.13883,-88.27143
Prairie Place_2b1b,"310-316 S Prairie St, Champaign, IL 61820",40.11333,-88.24809
State Street_1b1b,"307-309 S State St, Champaign, IL 61820",40.1137,-88.24719
211 Springfield Apartments_2b1b,"211 W Springfield Ave, Champaign, IL 61820",40.11236,-88.24659
Colonial South_1b1b,"1101 S Mattis Ave, Champaign, IL 61821",40.10436,-88.27695
Clark Street House_1b1b,"613 W Healey St, Champaign, IL 61820",40.11143,-88.25336
Healey Townhomes_2b2.5b,"402 W Clark St, Champaign, IL 61820",40.11562,-88.2487
Green Street_2b1b,"507-509 W Green St, Champaign, IL 61820",40.10988,-88.25146
Clark Street_2b1b,"307-312 W Clark St, Champaign, IL 61820",40.11508,-88.24775
Stoneleigh Court_2b1.5b,"800 S Mattis Ave, Champaign, IL 61821",40.10811,-88.27632
2511 Leeper Dr_2b1b,"2511 Leeper Dr, Champaign, IL 61822",40.08097,-88.27988
2513 Leeper Dr_2b1b,"2513 Leeper Dr, Champaign, IL 61822",40.08092,-88.2795
503 S Locust St_4b3b,"503 S Locust St, Champaign, IL 61820",40.11213,-88.24038
25 E John St_4b4b,"25 E John St, Champaign, IL 61820",40.10877,-88.24131
1013 S 1st St_4b4b,"1013 S 1st St, Champaign, IL 61820",40.10553,-88.23903
